title,dept,salary,race,gender,hire_date
POLICE OFFICER,Houston Police Department-HPD,45279.0,White,Male,2015-02-03
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Male,1982-02-08
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,1984-11-26
ENGINEER,Public Works & Engineering-PWE,71680.0,Asian,Male,2012-03-26
CARPENTER,Houston Airport System (HAS),42390.0,White,Male,2013-11-04
DEPUTY ASSISTANT DIRECTOR (EXECUTIVE LEV,Public Works & Engineering-PWE,107962.0,White,Male,1993-11-15
AIRPORT OPERATIONS COORDINATOR,Houston Airport System (HAS),44616.0,,Male,2016-03-14
FIRE FIGHTER,Houston Fire Department (HFD),52644.0,Hispanic,Male,2007-05-21
"CHIEF PHYSICIAN,MD",Health & Human Services,180416.0,Black,Male,1987-05-22
CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347.0,Black,Male,2015-11-16
PUBLIC HEALTH INVESTIGATOR SUPERVISOR,Health & Human Services,55269.0,Black,Male,1999-10-20
POLICE SERGEANT,Houston Police Department-HPD,77076.0,Black,Male,2001-06-04
SENIOR POLICE OFFICER,Houston Police Department-HPD,,Black,Male,1995-01-30
SENIOR POLICE OFFICER,Houston Police Department-HPD,,Hispanic,Male,1981-02-23
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,1995-06-19
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1992-02-17
SENIOR INSPECTOR,Public Works & Engineering-PWE,61506.0,White,Male,2009-04-06
FIRE FIGHTER,Houston Fire Department (HFD),57815.0,Black,Male,2001-03-20
INSPECTOR,Public Works & Engineering-PWE,43264.0,Black,Male,2015-01-05
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,White,Male,2004-03-15
POLICE OFFICER,Houston Police Department-HPD,52514.0,Black,Male,2010-03-29
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,White,Male,1999-08-23
SENIOR POLICE OFFICER,Houston Police Department-HPD,,Hispanic,Male,1979-11-19
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1990-01-12
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,1978-03-13
UTILITY WORKER,Public Works & Engineering-PWE,29557.0,Black,Male,2014-01-21
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,2004-03-15
FIRE FIGHTER TRAINEE,Houston Fire Department (HFD),28024.0,,Male,2016-03-14
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,Hispanic,Male,2007-05-21
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1990-01-22
DENTAL ASSISTANT,Health & Human Services,34923.0,Black,Female,1982-04-05
SENIOR INSPECTOR,Public Works & Engineering-PWE,60258.0,White,Female,2004-08-03
SENIOR MICROCOMPUTER ANALYST,Health & Human Services,67499.0,Asian,Female,1994-06-29
INVENTORY MANAGEMENT SUPERVISOR,Public Works & Engineering-PWE,38168.0,Black,Male,2008-09-08
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Hispanic,Male,2014-06-21
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,White,Male,2011-08-22
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,White,Male,2012-06-25
ASSOCIATE EMS PHYSICIAN DIRECTOR,Houston Fire Department (HFD),165216.0,Hispanic,Male,2013-08-31
POLICE OFFICER,Houston Police Department-HPD,45279.0,White,Male,2014-02-03
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1981-09-21
FIELD SUPERVISOR,Public Works & Engineering-PWE,43597.0,Black,Male,2008-06-30
CUSTOMER SERVICE SUPERVISOR,Public Works & Engineering-PWE,43618.0,Black,Female,2007-12-15
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,2002-10-22
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,2003-05-27
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,Hispanic,Male,2007-10-08
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Hispanic,Male,1983-09-12
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,Hispanic,Male,2003-03-24
DIVISION MANAGER,Houston Airport System (HAS),86297.0,Hispanic,Male,1992-12-14
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Male,1982-06-28
ADMINISTRATIVE ASSOCIATE,Houston Police Department-HPD,34757.0,Black,Female,2005-05-11
ELECTRICIAN,Public Works & Engineering-PWE,49483.0,Hispanic,Male,2005-05-16
EQUIPMENT OPERATOR III,Houston Airport System (HAS),40144.0,White,Male,2009-05-26
LABORER,Houston Airport System (HAS),28163.0,Black,Male,2013-08-19
EQUIPMENT WORKER,Public Works & Engineering-PWE,30992.0,Hispanic,Male,2013-10-14
IT PROJECT MANAGER,Houston Fire Department (HFD),96668.0,Black,Female,1998-04-07
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,1958-12-29
LABORER,Public Works & Engineering-PWE,26125.0,Black,Female,2001-05-21
SENIOR POLICE OFFICER,Houston Police Department-HPD,,White,Male,1985-09-03
AIRPORT OPERATIONS SPECIALIST,Houston Airport System (HAS),43826.0,White,Male,2004-09-13
"PUBLIC HEALTH DENTIST,DDS",Health & Human Services,100791.0,White,Female,2015-12-28
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Female,1998-02-23
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1995-01-30
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,1991-07-31
CUSTOMER SERVICE CLERK,Health & Human Services,31387.0,Hispanic,Female,1997-06-23
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1998-08-31
ADMINISTRATIVE AIDE,Houston Airport System (HAS),36296.0,White,Female,1999-07-12
SENIOR CAPTAIN,Houston Fire Department (HFD),78355.0,White,Male,1996-06-17
POLICE OFFICER,Houston Police Department-HPD,52514.0,Hispanic,Male,2010-03-29
POLICE OFFICER,Houston Police Department-HPD,43443.0,Hispanic,Male,2014-10-13
CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347.0,Black,Female,1999-09-27
FIELD SUPERVISOR,Public Works & Engineering-PWE,44283.0,White,Male,1980-08-27
SENIOR POLICE OFFICER,Houston Police Department-HPD,,Hispanic,Male,1976-01-27
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,2000-03-21
LICENSED VOCATIONAL NURSE,Health & Human Services,48984.0,Black,Female,2000-12-27
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,2004-08-03
CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347.0,Hispanic,Female,2016-05-02
FIELD SUPERVISOR,Public Works & Engineering-PWE,53373.0,Black,Male,1996-03-04
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,1985-05-28
PROCUREMENT SPECIALIST,Public Works & Engineering-PWE,52156.0,Hispanic,Male,2014-11-12
CUSTODIAN,Parks & Recreation,26125.0,Black,Female,1993-10-02
INSPECTOR FIRE,Houston Fire Department (HFD),66523.0,Hispanic,Male,2004-01-05
POLICE SERGEANT,Houston Police Department-HPD,77076.0,Hispanic,Male,2001-06-04
POLICE OFFICER,Houston Police Department-HPD,60347.0,Native American,Male,2006-03-20
UTILITY WORKER,Public Works & Engineering-PWE,29557.0,Black,Male,2012-02-20
UTILITY WORKER,Public Works & Engineering-PWE,30139.0,Black,Male,2016-03-21
LABORER,Houston Airport System (HAS),26125.0,Hispanic,Female,2001-11-19
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,2000-03-21
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Hispanic,Male,2009-01-12
SENIOR PLANT OPERATOR,Public Works & Engineering-PWE,45926.0,Black,Female,2010-09-07
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1994-04-11
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,Black,Male,2001-03-20
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Male,1986-03-03
PUBLIC HEALTH EDUCATOR,Health & Human Services,36650.0,Hispanic,Female,2015-10-05
FIELD SUPERVISOR,Public Works & Engineering-PWE,41288.0,Black,Male,2006-12-11
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Hispanic,Male,2008-06-16
SENIOR DATA ENTRY OPERATOR,Health & Human Services,31554.0,Asian,Female,1993-10-18
POLICE LIEUTENANT,Houston Police Department-HPD,91181.0,White,Male,1985-07-22
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Female,1994-06-20
UTILITY MECHANIC,Public Works & Engineering-PWE,30597.0,Hispanic,Male,2013-05-28
ADMINISTRATIVE ASSISTANT,Health & Human Services,44200.0,Black,Female,1996-10-07
"FIRE FIGHTER, PROBATIONARY",Houston Fire Department (HFD),40170.0,Black,Male,2015-07-20
ASSISTANT PROJECT MANAGER,Public Works & Engineering-PWE,,White,Female,2007-12-31
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,2003-03-24
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1992-10-19
STAFF EPIDEMIOLOGIST,Health & Human Services,59819.0,White,Male,2010-01-11
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Hispanic,Male,1998-08-31
POLICE OFFICER,Houston Police Department-HPD,43443.0,Hispanic,Female,2014-06-09
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1996-10-28
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,1991-05-13
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,Hispanic,Male,2007-02-12
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1992-06-22
EQUIPMENT WORKER,Public Works & Engineering-PWE,38646.0,Black,Male,1989-05-08
"POLICE OFFICER,PROBATIONARY",Houston Police Department-HPD,42000.0,Black,Male,2015-07-06
RECREATION SPECIALIST,Parks & Recreation,33592.0,Black,Male,2013-06-22
INSPECTOR,Public Works & Engineering-PWE,52458.0,Black,Male,1988-03-30
POLICE SERGEANT,Houston Police Department-HPD,77076.0,Asian,Male,2003-06-09
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Hispanic,Female,2009-07-27
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Female,1991-02-04
JAIL ATTENDANT,Houston Police Department-HPD,36317.0,Black,Female,2008-11-24
CUSTOMER SERVICE CLERK,Health & Human Services,30826.0,Hispanic,Female,2008-01-14
POLICE SERGEANT,Houston Police Department-HPD,,Hispanic,Male,1984-05-29
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,Hispanic,Male,2013-10-12
